model,	com_rk,	eas_rk,	edas_rk,	eas_gen,	edas_gen,	comb_eval,	eas_eval,	edas_eval
GBM,	1,	1,	1,	9,	9,	7776,	425,	926
VC,	1,	1,	7,	5,	4,	7776,	426,	866
RF,	1,	1,	5,	6,	4,	7776,	408,	710
ET,	1,	1,	2,	4,	5,	7776,	341,	808
AB,	1,	11,	39,	5,	2,	7776,	358,	702
k-NN,	1,	1,	8,	2,	4,	7776,	368,	672
GNB,	1,	1,	5,	7,	11,	7776,	439,	749
DT,	1,	2,	3,	9,	4,	7776,	421,	775
SVC,	1,	3,	3,	2,	9,	7776,	402,	808
LDA,	1,	1,	26,	6,	5,	7776,	460,	782
LoR,	1,	1,	4,	6,	4,	7776,	334,	768
MLP,	1,	1,	10,	8,	12,	7776,	386,	785